# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
242,3_7,Role 1,7,0.57,1
243,123_11,SYSTEM,123,0.0,1
243,123_11,Role 1,11,0.37,1
244,19_8,SYSTEM,19,0.0,1
244,19_8,Role 1,8,0.51,1
245,18_72,SYSTEM,18,0.0,1
245,18_72,Role 1,72,0.06,1
246,15_6,SYSTEM,15,0.0,1
246,15_6,Role 1,6,0.68,1
247,29_43,SYSTEM,29,0.0,1
247,29_43,Role 1,43,0.09,1
248,3_5,SYSTEM,3,0.0,1
248,3_5,Role 1,5,0.81,1
249,9_10,SYSTEM,9,0.0,1
249,9_10,Role 1,10,0.41,1
250,12_16,SYSTEM,12,0.0,1
250,12_16,Role 1,16,0.25,1
251,7_10,SYSTEM,7,0.0,1
251,7_10,Role 1,10,0.39,1
252,2_4,SYSTEM,2,0.0,1
252,2_4,Role 1,4,0.99,1
253,5_85,SYSTEM,5,0.0,1
253,5_85,Role 1,85,0.05,1
254,5_57,SYSTEM,5,0.0,1
254,5_57,Role 1,57,0.07,1
255,12_6,SYSTEM,12,0.0,1
255,12_6,Role 1,6,0.67,1
256,115_40,SYSTEM,115,0.0,1
256,115_40,Role 1,40,0.1,1
257,4_7,SYSTEM,4,0.0,1
257,4_7,Role 1,7,0.58,1
258,12_7,SYSTEM,12,0.0,1
258,12_7,Role 1,7,0.58,1
259,13_52,SYSTEM,13,0.0,1
259,13_52,Role 1,52,0.08,1
260,3_18,SYSTEM,3,0.0,1
260,3_18,Role 1,18,0.23,1
261,110_43,SYSTEM,110,0.0,1
261,110_43,Role 1,43,0.09,1
262,121_84,SYSTEM,121,0.0,1
262,121_84,Role 1,84,0.05,1
263,15_14,SYSTEM,15,0.0,1
263,15_14,Role 1,14,0.29,1
264,27_5,SYSTEM,27,0.0,1
264,27_5,Role 1,5,0.8,1
265,6_29,SYSTEM,6,0.0,1
265,6_29,Role 1,29,0.14,1
266,118_40,SYSTEM,118,0.0,1
266,118_40,Role 1,40,0.1,1
267,10_5,SYSTEM,10,0.0,1
267,10_5,Role 1,5,0.79,1
268,1_44,SYSTEM,1,0.0,1
268,1_44,Role 1,44,0.09,1
269,119_94,SYSTEM,119,0.0,1
269,119_94,Role 1,94,0.04,1
270,3_45,SYSTEM,3,0.0,1
270,3_45,Role 1,45,0.09,1
271,9_54,SYSTEM,9,0.0,1
271,9_54,Role 1,54,0.07,1
272,2_43,SYSTEM,2,0.0,1
272,2_43,Role 1,43,0.09,1
273,4_44,SYSTEM,4,0.0,1
273,4_44,Role 1,44,0.09,1
274,115_34,SYSTEM,115,0.0,1
274,115_34,Role 1,34,0.12,1
275,11_32,SYSTEM,11,0.0,1
275,11_32,Role 1,32,0.13,1
276,6_10,SYSTEM,6,0.0,1
276,6_10,Role 1,10,0.4,1
277,1_33,SYSTEM,1,0.0,1
277,1_33,Role 1,33,0.12,1
278,118_74,SYSTEM,118,0.0,1
278,118_74,Role 1,74,0.05,1
279,124_44,SYSTEM,124,0.0,1
279,124_44,Role 1,44,0.09,1
280,4_4,SYSTEM,4,0.0,1
280,4_4,Role 1,4,0.99,1
281,1_6,SYSTEM,1,0.0,1
281,1_6,Role 1,6,0.65,1
282,110_59,SYSTEM,110,0.0,1
282,110_59,Role 1,59,0.07,1
283,3_94,SYSTEM,3,0.0,1
283,3_94,Role 1,94,0.04,1
284,2_6,SYSTEM,2,0.0,1
284,2_6,Role 1,6,0.69,1
285,2_20,SYSTEM,2,0.0,1
285,2_20,Role 1,20,0.2,1
286,4_12,SYSTEM,4,0.0,1
286,4_12,Role 1,12,0.34,1
287,15_44,SYSTEM,15,0.0,1
287,15_44,Role 1,44,0.09,1
288,1_29,SYSTEM,1,0.0,1
288,1_29,Role 1,29,0.14,1
289,104_60,SYSTEM,104,0.0,1
289,104_60,Role 1,60,0.07,1
290,12_33,SYSTEM,12,0.0,1
290,12_33,Role 1,33,0.12,1
291,7_4,SYSTEM,7,0.0,1
291,7_4,Role 1,4,0.98,1
