Total Solutions Generated,509
Total Iterations,130

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
57,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",18958582.2534057,2107175.8812414384,18932287.409781,243313.55984619586,175319.42217399925
58,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 63488, 64512, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",17563934.837322332,1865942.171398143,17539574.317437,156793.6769546105,96102.79101299867
59,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 64512, 64512, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19641290.79629863,2781588.397750249,19614049.061491,298346.82155551296,171119.45067000017
60,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 63488, 63488, 64512, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",18253288.801747072,1906677.3081878696,18227972.173728,265984.4968548666,83848.419989001
61,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 64512, 64512, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",16613038.556144493,1524068.2684513307,16589996.893792,149124.13547285716,253056.6166340001
62,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 31744, 30720, 0, 0]",19904041.27008229,2728509.369116433,19876435.110207,168013.5528138671,261846.57470399886
63,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 64512, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19645464.892906316,2745462.524458757,19618217.368783,99356.74860532116,255231.57718899846
64,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 64512, 64512, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19472944.11605738,2583623.1269156546,19445935.871791,189605.49020621367,267903.58186500147
65,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 64512, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",17566513.484279096,1672062.4346310098,17542149.387907,170067.60133354203,263303.74821000174
66,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 64512, 64512, 64512, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",17567240.43893498,1184906.3686953438,17542875.334304,170794.13253232324,80038.14582099952
