# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
130,3_14_28,SYSTEM,3,0.0,1
130,3_14_28,Role 1,14,0.02,1
130,3_14_28,Role 2,28,0.94,1
131,7_34_50,SYSTEM,7,0.0,1
131,7_34_50,Role 1,34,0.02,1
131,7_34_50,Role 2,50,0.92,1
132,7_23_64,SYSTEM,7,0.0,1
132,7_23_64,Role 1,23,0.03,1
132,7_23_64,Role 2,64,0.87,1
133,45_66_59,SYSTEM,45,0.0,1
133,45_66_59,Role 1,66,0.01,1
133,45_66_59,Role 2,59,0.9,1
134,5_24_63,SYSTEM,5,0.0,1
134,5_24_63,Role 1,24,0.03,1
134,5_24_63,Role 2,63,0.92,1
135,51_34_63,SYSTEM,51,0.0,1
135,51_34_63,Role 1,34,0.02,1
135,51_34_63,Role 2,63,0.91,1
136,7_28_60,SYSTEM,7,0.0,1
136,7_28_60,Role 1,28,0.02,1
136,7_28_60,Role 2,60,0.91,1
137,4_11_59,SYSTEM,4,0.0,1
137,4_11_59,Role 1,11,0.06,1
137,4_11_59,Role 2,59,0.91,1
138,40_22_65,SYSTEM,40,0.0,1
138,40_22_65,Role 1,22,0.03,1
138,40_22_65,Role 2,65,0.92,1
139,3_9_53,SYSTEM,3,0.0,1
139,3_9_53,Role 1,9,0.07,1
139,3_9_53,Role 2,53,0.91,1
140,1_16_66,SYSTEM,1,0.0,1
140,1_16_66,Role 1,16,0.05,1
140,1_16_66,Role 2,66,0.92,1
141,2_15_61,SYSTEM,2,0.0,1
141,2_15_61,Role 1,15,0.04,1
141,2_15_61,Role 2,61,0.85,1
142,39_30_59,SYSTEM,39,0.0,1
142,39_30_59,Role 1,30,0.02,1
142,39_30_59,Role 2,59,0.89,1
143,45_14_54,SYSTEM,45,0.0,1
143,45_14_54,Role 1,14,0.04,1
143,45_14_54,Role 2,54,0.91,1
144,3_64_58,SYSTEM,3,0.0,1
144,3_64_58,Role 1,64,0.01,1
144,3_64_58,Role 2,58,0.93,1
145,11_29_49,SYSTEM,11,0.0,1
145,11_29_49,Role 1,29,0.02,1
145,11_29_49,Role 2,49,0.92,1
146,11_3_64,SYSTEM,11,0.0,1
146,11_3_64,Role 1,3,0.25,1
146,11_3_64,Role 2,64,0.93,1
147,9_11_64,SYSTEM,9,0.0,1
147,9_11_64,Role 1,11,0.07,1
147,9_11_64,Role 2,64,0.94,1
148,3_15_61,SYSTEM,3,0.0,1
148,3_15_61,Role 1,15,0.04,1
148,3_15_61,Role 2,61,0.91,1
149,42_29_55,SYSTEM,42,0.0,1
149,42_29_55,Role 1,29,0.02,1
149,42_29_55,Role 2,55,0.91,1
150,45_12_62,SYSTEM,45,0.0,1
150,45_12_62,Role 1,12,0.06,1
150,45_12_62,Role 2,62,0.9,1
151,7_6_59,SYSTEM,7,0.0,1
151,7_6_59,Role 1,6,0.11,1
151,7_6_59,Role 2,59,0.89,1
152,5_14_53,SYSTEM,5,0.0,1
152,5_14_53,Role 1,14,0.04,1
152,5_14_53,Role 2,53,0.95,1
153,52_49_58,SYSTEM,52,0.0,1
153,52_49_58,Role 1,49,0.01,1
153,52_49_58,Role 2,58,0.92,1
154,41_24_63,SYSTEM,41,0.0,1
154,41_24_63,Role 1,24,0.03,1
154,41_24_63,Role 2,63,0.91,1
155,3_16_59,SYSTEM,3,0.0,1
155,3_16_59,Role 1,16,0.04,1
155,3_16_59,Role 2,59,0.9,1
156,7_25_64,SYSTEM,7,0.0,1
156,7_25_64,Role 1,25,0.03,1
156,7_25_64,Role 2,64,0.91,1
157,3_31_64,SYSTEM,3,0.0,1
157,3_31_64,Role 1,31,0.02,1
157,3_31_64,Role 2,64,0.91,1
158,7_13_56,SYSTEM,7,0.0,1
158,7_13_56,Role 1,13,0.05,1
158,7_13_56,Role 2,56,0.92,1
159,7_26_64,SYSTEM,7,0.0,1
159,7_26_64,Role 1,26,0.03,1
159,7_26_64,Role 2,64,0.91,1
160,6_11_64,SYSTEM,6,0.0,1
160,6_11_64,Role 1,11,0.06,1
160,6_11_64,Role 2,64,0.87,1
161,6_28_64,SYSTEM,6,0.0,1
161,6_28_64,Role 1,28,0.02,1
161,6_28_64,Role 2,64,0.81,1
162,7_22_59,SYSTEM,7,0.0,1
162,7_22_59,Role 1,22,0.03,1
162,7_22_59,Role 2,59,0.91,1
163,8_10_62,SYSTEM,8,0.0,1
163,8_10_62,Role 1,10,0.07,1
163,8_10_62,Role 2,62,0.92,1
164,2_32_66,SYSTEM,2,0.0,1
164,2_32_66,Role 1,32,0.02,1
164,2_32_66,Role 2,66,0.9,1
165,10_3_64,SYSTEM,10,0.0,1
165,10_3_64,Role 1,3,0.24,1
165,10_3_64,Role 2,64,0.91,1
166,2_9_53,SYSTEM,2,0.0,1
166,2_9_53,Role 1,9,0.07,1
166,2_9_53,Role 2,53,0.93,1
167,2_17_64,SYSTEM,2,0.0,1
167,2_17_64,Role 1,17,0.04,1
167,2_17_64,Role 2,64,0.93,1
168,5_32_66,SYSTEM,5,0.0,1
168,5_32_66,Role 1,32,0.02,1
168,5_32_66,Role 2,66,0.87,1
169,16_21_48,SYSTEM,16,0.0,1
169,16_21_48,Role 1,21,0.03,1
169,16_21_48,Role 2,48,0.95,1
170,3_17_62,SYSTEM,3,0.0,1
170,3_17_62,Role 1,17,0.04,1
170,3_17_62,Role 2,62,0.92,1
171,6_35_66,SYSTEM,6,0.0,1
171,6_35_66,Role 1,35,0.02,1
171,6_35_66,Role 2,66,0.79,1
172,11_12_58,SYSTEM,11,0.0,1
172,11_12_58,Role 1,12,0.05,1
172,11_12_58,Role 2,58,0.92,1
173,1_4_66,SYSTEM,1,0.0,1
173,1_4_66,Role 1,4,0.17,1
173,1_4_66,Role 2,66,0.88,1
174,43_17_64,SYSTEM,43,0.0,1
174,43_17_64,Role 1,17,0.04,1
174,43_17_64,Role 2,64,0.91,1
175,5_22_61,SYSTEM,5,0.0,1
175,5_22_61,Role 1,22,0.03,1
175,5_22_61,Role 2,61,0.89,1
176,1_17_66,SYSTEM,1,0.0,1
176,1_17_66,Role 1,17,0.04,1
176,1_17_66,Role 2,66,0.91,1
177,3_14_51,SYSTEM,3,0.0,1
177,3_14_51,Role 1,14,0.04,1
177,3_14_51,Role 2,51,0.95,1
178,3_30_58,SYSTEM,3,0.0,1
178,3_30_58,Role 1,30,0.02,1
